Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
Costa,SANTA ELENA,swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0529184124492976,0.0793776186739465,0.0015875523734788,0.1338835834967231,37.04288871450839,0.158755237347893,0.0005970164438403,11.64205073884549,8.149435517191845,0.0,0.0,0.0034926152216536,0.0024448306551575,0.001047784566496,0.0006350209493914,1.0
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2109119703774414,0.0191738154888582,0.0011504289293314,0.2312362147956312,43.1410848499312,0.5752144646657494,0.0006585942741454,9.586907744429157,3.834763097771664,5.752144646657494,0.862821696998624,0.0025309436445292,0.0017716605511704,0.0007592830933587,0.0004601715717325,1.0
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630587,0.0007054798144588,0.0054086785775175,6.466898299205748,0.1175799690764681,2.2053433210199766e-06,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918092,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.1224120226001586
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0104748828131824,0.0015712324219773,0.0120461152351597,14.40296386812584,0.2618720703295606,5.7195373200376336e-06,3.561460156482026,3.561460156482026,0.0,0.0,0.0034567113283501,0.002419697929845,0.001037013398505,0.0006284929687908,1.0
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.032036442542065,0.0029124038674604,0.0001747442320475,0.0351235906415731,6.552908701786034,0.0873721160238137,5.75995030422777e-05,1.4562019337302297,0.5824807734920919,0.873721160238138,0.1310581740357206,0.0003844373105047,0.0002691061173532,0.0001153311931514,6.989769281903932e-05,0.1994797169493465
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0342977232571028,0.0085744308142756,0.0004287215407137,0.0433008756120923,20.57863395426172,0.0171488616285513,0.00188252764518,3.4297723257102866,1.7148861628551433,1.7148861628551433,0.2572329244282715,0.0009431873895702,0.0006602311726991,0.000282956216871,0.0001714886162854,1.0
Costa,SANTO DOMINGO DE LOS TSÁCHILAS,swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0621972874804554,0.0932959312206831,0.0018659186244136,0.1573591373255522,43.5381012363188,0.1865918624413662,0.0005381861487072,13.683403245700196,9.578382271990137,0.0,0.0,0.00410502097371,0.002873514681597,0.0012315062921129,0.0007463674497654,1.0
Oriente,MORONA SANTIAGO,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2058019457483214,0.0187092677953019,0.001122556067718,0.2256337696113415,42.0958525394294,0.5612780338590586,0.0003857987169041,9.354633897650976,3.741853559060391,5.6127803385905874,0.8419170507885879,0.0024696233489798,0.0017287363442858,0.0007408870046939,0.0004490224270871,1.0
Oriente,MORONA SANTIAGO,eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630587,0.0007054798144588,0.0054086785775175,6.466898299205749,0.1175799690764681,0.0157762561485644,1.5990875794399668,1.5990875794399668,0.0,0.0,0.0015520555918092,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.1224120226001586
Oriente,MORONA SANTIAGO,meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0104011495924289,0.0015601724388642,0.0119613220312931,14.301580689589782,0.2600287398107233,0.0013203726668896,3.5363908614258364,3.5363908614258364,0.0,0.0,0.0034323793655014,0.002402665555851,0.0010297138096504,0.0006240689755456,1.0
Oriente,MORONA SANTIAGO,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0464796841947815,0.0042254258358892,0.0002535255501532,0.050958635580824,9.507208130750763,0.1267627750766768,9.893849508822494e-05,2.112712917944614,0.8450851671778455,1.267627750766768,0.1901441626150151,0.0005577562103373,0.0003904293472361,0.0001673268631011,0.0001014102200613,0.2894127284855635
Oriente,MORONA SANTIAGO,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0257529507857839,0.0064382376964459,0.0003219118848222,0.0325131003670523,15.451770471470416,0.0128764753928919,0.0084990054058563,2.575295078578403,1.2876475392892015,1.2876475392892015,0.1931471308933801,0.0007082061466089,0.0004957443026262,0.0002124618439827,0.0001287647539288,1.0
Oriente,MORONA SANTIAGO,ovine_live,ovine,v2_integrated,1 kg live weight equivalent,1.0,0.2433333333333333,0.0324444444444444,0.0016222222222222,0.2773999999999999,61.64444444444444,0.081111111111111,0.0058295112382713,9.733333333333333,1.946666666666667,7.786666666666668,1.168,0.0035688888888888,0.0024982222222222,0.0010706666666666,0.0006488888888888,1.0
