metric,domain,source_summary_file,source_inventory_level,source_key,n,sheet_name,figure_id
HABA SECA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba seca,265.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
HABA TIERNA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba tierna,340.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
HUERTO FRUTAL,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto frutal,875.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
HUERTO HORTICOLA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto horticola,347.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
LECHUGA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,lechuga,104.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
LENTEJA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,lenteja,3.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
LIMON,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,limon,255.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MAIZ DURO CHOCLO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz duro choclo,87.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MAIZ DURO SECO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,cereals,,individual tropical crops,individual_tropical_crops_grouped_lollipop
MAIZ SUAVE CHOCLO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz suave choclo,837.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MAIZ SUAVE SECO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,cereals,,individual tropical crops,individual_tropical_crops_grouped_lollipop
MANDARINA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mandarina,128.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MANGO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mango,79.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MANI,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mani,88.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MANZANA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,manzana,58.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MARACUYA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maracuya,157.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MASHUA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mashua,2.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
MELLOCO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,melloco,43.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
