count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
25,oriente,(all selected provinces),MAIZ DURO CHOCLO (CHOCLO),transitory,2024-08-01,2024-12-01,4.0,0.2,454.54545454545496,0.0,sin riego,QUINTAL,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,200.0,,,0.0,0.0,2.0,3.0303030303030303,,0.0,0.0,2383.980925,1000.0,
187,oriente,(all selected provinces),MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-12-01,11.0,0.5,1136.3636363636401,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,174.05180733333333,122.59253243243244,5.333333333333333,,0.0,0.0,1.2626262626262625,1.968503937007874,1.3333333333333333,0.049999999999999996,7.386363636363626,453.59237,,
2,oriente,(all selected provinces),MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-06-01,2024-12-01,6.0,0.99,734.6189164370979,0.0,sin riego,SACO,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,,,,0.0,0.0,,,,0.0,,,,
5,oriente,(all selected provinces),MAIZ SUAVE SECO (GRANO SECO),transitory,2024-07-01,2024-11-01,4.0,0.4,727.2727272727279,0.0,sin riego,QUINTAL,MAZORCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,157.01274346153846,,,0.0,0.0,1.0,5.2631578947368425,,0.0,4.4318181818181746,,,
1,oriente,(all selected provinces),MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.1,454.54545454545496,0.0,sin riego,QUINTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,0.0,0.0,,,,0.0,,,,
12,oriente,(all selected provinces),MANI,transitory,2024-01-01,2024-07-01,6.0,0.145,909.090909090909,0.0,sin riego,QUINTAL,GRANO DESCASCARADO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2647.992,64.0,,,,0.0,0.0,,,,0.0,4.31818181818182,,,
1,oriente,(all selected provinces),MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,4363.636363636359,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,0.0,,,,0.0,,,,
9,oriente,(all selected provinces),NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.75,3409.0909090909045,0.0,sin riego,QUINTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,152.6487789584527,,,,0.0,0.0,,3.932664756446991,,0.0,,,,
31,oriente,(all selected provinces),ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.265,3340.909090909095,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,90.718474,,,,0.0,0.0,1.48,2.857142857142857,,0.0,,,,
289,oriente,(all selected provinces),OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,1.0,5584.415584415581,0.0,sin riego,UNIDAD,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,302.39491333333336,130.8937982,211.67643933333332,115.459876,126.35787450000001,0.0,3.401942775,8.0,5.4431084400000005,0.0,,2834.9523125,11339.80925,2.5
